date,model,alpha,return,sigma2,VaR,ES,period,period_start
2011-02-11,GARCHNet++,0.025,0.595257201654703,1.1393673419952393,-2.110335519912333,-2.5782788856780945,Period II,2007-01-01
2011-02-14,GARCHNet++,0.025,0.24010822182387254,1.13402259349823,-2.105355943180838,-2.5720992135304037,Period II,2007-01-01
2011-02-15,GARCHNet++,0.025,-0.3152668796160044,1.1177220344543457,-2.0901181551625077,-2.5532766923050048,Period II,2007-01-01
2011-02-16,GARCHNet++,0.025,0.6295543499705147,1.1093885898590088,-2.0822894834062224,-2.54362379645511,Period II,2007-01-01
2011-02-17,GARCHNet++,0.025,0.2983917822945191,1.0939204692840576,-2.067665441664378,-2.5255345443647648,Period II,2007-01-01
2011-02-18,GARCHNet++,0.025,0.20834800346416876,0.9394522309303284,-1.9157633774590943,-2.3385452073964537,Period II,2007-01-01
2011-02-22,GARCHNet++,0.025,-2.0273985764222773,0.9300592541694641,-1.9061306686907338,-2.326662815921834,Period II,2007-01-01
2011-02-23,GARCHNet++,0.025,-0.6163211746435968,1.1552696228027344,-2.12518711491145,-2.5971273622733935,Period II,2007-01-01
2011-02-24,GARCHNet++,0.025,-0.06872426132549282,1.1686218976974487,-2.1375472067038426,-2.6126918141022677,Period II,2007-01-01
2011-02-25,GARCHNet++,0.025,1.0636043322289848,1.1391257047653198,-2.1103121094815323,-2.579053891963043,Period II,2007-01-01
2011-02-28,GARCHNet++,0.025,0.6177449798552023,1.1432687044143677,-2.1141291421243937,-2.583650086746192,Period II,2007-01-01
2011-03-01,GARCHNet++,0.025,-1.6813493120841887,1.1136374473571777,-2.086448367137033,-2.5494047997388396,Period II,2007-01-01
2011-03-02,GARCHNet++,0.025,0.21363709867891836,1.267080307006836,-2.226111262540789,-2.722312728734398,Period II,2007-01-01
2011-03-03,GARCHNet++,0.025,1.7077598345467793,1.2341521978378296,-2.196924121276239,-2.6863303189056,Period II,2007-01-01
2011-03-04,GARCHNet++,0.025,-0.7520528720848659,1.2980715036392212,-2.2532617025379906,-2.7558848453346863,Period II,2007-01-01
2011-03-07,GARCHNet++,0.025,-0.7881879144340674,1.308570384979248,-2.2624450322049503,-2.7674810266482113,Period II,2007-01-01
2011-03-08,GARCHNet++,0.025,0.8711915857417784,1.3125190734863281,-2.265899247342802,-2.7718828452648974,Period II,2007-01-01
2011-03-09,GARCHNet++,0.025,-0.1434143284876095,1.2901184558868408,-2.2463900118098805,-2.7476496419857153,Period II,2007-01-01
2011-03-10,GARCHNet++,0.025,-1.8679283098206725,1.2445344924926758,-2.206194018011963,-2.697861810004503,Period II,2007-01-01
2011-03-11,GARCHNet++,0.025,0.6902350439859637,1.432910680770874,-2.3679299141782,-2.8982962920592126,Period II,2007-01-01
2011-03-14,GARCHNet++,0.025,-0.6056159320269047,1.4122259616851807,-2.3507613741244286,-2.8772191837209253,Period II,2007-01-01
2011-03-15,GARCHNet++,0.025,-1.152331292184129,1.3908175230026245,-2.332813641609739,-2.854998214217935,Period II,2007-01-01
2011-03-16,GARCHNet++,0.025,-1.8686241077615322,1.4372726678848267,-2.371615330147138,-2.9031535546469636,Period II,2007-01-01
2011-03-17,GARCHNet++,0.025,1.3148228441042051,1.6304343938827515,-2.5266686587416776,-3.0959101218406757,Period II,2007-01-01
2011-03-18,GARCHNet++,0.025,-0.0704169174871776,1.656589388847351,-2.546960040794624,-3.1212177308867703,Period II,2007-01-01
2011-03-21,GARCHNet++,0.025,1.5378969497287496,1.468841791152954,-2.3979731241521343,-2.937300659814763,Period II,2007-01-01
2011-03-22,GARCHNet++,0.025,-0.3474598786978691,1.469844937324524,-2.398716604678041,-2.9378978331835706,Period II,2007-01-01
2011-03-23,GARCHNet++,0.025,0.2857776653072565,1.3677808046340942,-2.31360090148871,-2.8322582274779173,Period II,2007-01-01
2011-03-24,GARCHNet++,0.025,0.951795829774732,1.2658816576004028,-2.225358351259161,-2.7226161233035255,Period II,2007-01-01
2011-03-25,GARCHNet++,0.025,0.3051178262846453,1.2069505453109741,-2.172677169877678,-2.6570833349226164,Period II,2007-01-01
2011-03-28,GARCHNet++,0.025,-0.24401973806626945,1.1266123056411743,-2.098814531910922,-2.5655074798388537,Period II,2007-01-01
2011-03-29,GARCHNet++,0.025,0.6696151143217117,1.0640385150909424,-2.0394649626250048,-2.4920311176192937,Period II,2007-01-01
2011-03-30,GARCHNet++,0.025,0.6877581773286895,1.0119712352752686,-1.9887212352683936,-2.429153121861797,Period II,2007-01-01
2011-03-31,GARCHNet++,0.025,-0.13567075803988482,0.9833409786224365,-1.9602660350080456,-2.393913241764045,Period II,2007-01-01
2011-04-01,GARCHNet++,0.025,0.42146339137174116,0.9481373429298401,-1.9247336920969447,-2.350029598082367,Period II,2007-01-01
2011-04-04,GARCHNet++,0.025,0.08257994924441352,0.9245924353599548,-1.900589020823255,-2.320169499198012,Period II,2007-01-01
2011-04-05,GARCHNet++,0.025,-0.01500113599201931,0.9061636328697205,-1.8814486837318274,-2.296393832961331,Period II,2007-01-01
2011-04-06,GARCHNet++,0.025,0.3147234928549288,0.8928215503692627,-1.8674789253338644,-2.279077681419953,Period II,2007-01-01
2011-04-07,GARCHNet++,0.025,-0.25469811049454494,0.8845887184143066,-1.858807181918361,-2.2683309603080413,Period II,2007-01-01
2011-04-08,GARCHNet++,0.025,-0.34563615456314933,0.8795382976531982,-1.853470955933869,-2.261731354252592,Period II,2007-01-01
2011-04-11,GARCHNet++,0.025,-0.30151830882110936,0.8810614347457886,-1.8550866164982507,-2.2637479717973017,Period II,2007-01-01
2011-04-12,GARCHNet++,0.025,-0.7502065749284654,0.8810582160949707,-1.8550856412704309,-2.2637562561461175,Period II,2007-01-01
2011-04-13,GARCHNet++,0.025,-0.007602408655647419,0.9052777290344238,-1.8805358278434445,-2.2953074643950426,Period II,2007-01-01
2011-04-14,GARCHNet++,0.025,0.07603288565081602,0.8951770663261414,-1.8699651866553175,-2.2822079440323804,Period II,2007-01-01
2011-04-15,GARCHNet++,0.025,0.36418533742727915,0.886951208114624,-1.8613099312924404,-2.271472416545415,Period II,2007-01-01
