date,model,alpha,return,sigma2,VaR,ES
2024-12-09,EGARCH,0.025,-0.5162948743187376,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-10,EGARCH,0.025,-0.3113933866162911,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-11,EGARCH,0.025,0.7700919095089764,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-12,EGARCH,0.025,-0.516593096615969,0.6469430448368036,-1.5982638244093075,-1.9906499660334598
2024-12-13,EGARCH,0.025,-0.0198578638197056,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-16,EGARCH,0.025,0.42608752402266953,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-17,EGARCH,0.025,-0.41285524354204156,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-18,EGARCH,0.025,-3.0256637667440827,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-19,EGARCH,0.025,-0.03071593026207189,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-20,EGARCH,0.025,0.8579451781121527,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-23,EGARCH,0.025,0.597043186718211,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-24,EGARCH,0.025,1.1053692268884356,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-26,EGARCH,0.025,0.006658528242378701,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-27,EGARCH,0.025,-1.0582314487253603,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2024-12-30,EGARCH,0.025,-1.1477250763649458,0.4328816584144021,-1.3077445406632082,-1.6309269343125241
2008-12-23,GJR-GARCH,0.025,-1.0391432729627237,9.432411160560228,-6.137721158806171,-8.010810275679962
2008-12-24,GJR-GARCH,0.025,0.5786383218398263,9.432411160560228,-6.137721158806171,-8.010810275679962
2008-12-26,GJR-GARCH,0.025,0.5753093522237429,9.432411160560228,-6.137721158806171,-8.010810275679962
2008-12-29,GJR-GARCH,0.025,-0.28724095061899446,9.432411160560228,-6.137721158806171,-8.010810275679962
2008-12-30,GJR-GARCH,0.025,2.342610539089738,9.432411160560228,-6.137721158806171,-8.010810275679962
2008-12-31,GJR-GARCH,0.025,1.4173516099915529,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-02,GJR-GARCH,0.025,2.9696519178003355,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-05,GJR-GARCH,0.025,-0.11840118900765961,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-06,GJR-GARCH,0.025,0.6655270889422131,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-07,GJR-GARCH,0.025,-3.0414020791079848,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-08,GJR-GARCH,0.025,0.4072458971089522,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-09,GJR-GARCH,0.025,-2.1651926807517587,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-12,GJR-GARCH,0.025,-2.4313847924378575,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-13,GJR-GARCH,0.025,0.18384891350325747,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-14,GJR-GARCH,0.025,-3.195977410592953,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-15,GJR-GARCH,0.025,0.03554989494979771,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-16,GJR-GARCH,0.025,0.7789441442275626,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-20,GJR-GARCH,0.025,-5.423049312192624,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-21,GJR-GARCH,0.025,4.228552816206686,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-22,GJR-GARCH,0.025,-1.5587881906289451,9.432411160560228,-6.137721158806171,-8.010810275679962
2009-01-23,GJR-GARCH,0.025,0.43410246516630385,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-01-26,GJR-GARCH,0.025,0.6834965054715632,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-01-27,GJR-GARCH,0.025,1.010648253622144,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-01-28,GJR-GARCH,0.025,3.3274366155453943,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-01-29,GJR-GARCH,0.025,-3.3037741216518097,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-01-30,GJR-GARCH,0.025,-2.055277472235818,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-02,GJR-GARCH,0.025,-0.30227940853050667,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-03,GJR-GARCH,0.025,1.3949192449676409,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-04,GJR-GARCH,0.025,-0.49080847130710814,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-05,GJR-GARCH,0.025,1.4770939817922155,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-06,GJR-GARCH,0.025,2.8098655578234966,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-09,GJR-GARCH,0.025,0.13786205759479542,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-10,GJR-GARCH,0.025,-4.689182743092,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-11,GJR-GARCH,0.025,0.5878462929680316,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-12,GJR-GARCH,0.025,0.0717507949255106,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-13,GJR-GARCH,0.025,-1.081613109807438,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-17,GJR-GARCH,0.025,-4.371607108689898,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-18,GJR-GARCH,0.025,-0.2401295831986448,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-19,GJR-GARCH,0.025,-1.0813647502500439,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-20,GJR-GARCH,0.025,-0.9768742769734874,8.603412971336558,-5.862113603811767,-7.671591859855348
2009-02-23,GJR-GARCH,0.025,-3.6434577072935848,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-02-24,GJR-GARCH,0.025,3.720933743960743,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-02-25,GJR-GARCH,0.025,-0.7904162773987182,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-02-26,GJR-GARCH,0.025,-1.6394884307632596,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-02-27,GJR-GARCH,0.025,-2.2602131086717105,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-02,GJR-GARCH,0.025,-4.608858081073006,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-03,GJR-GARCH,0.025,-0.7535384859036656,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-04,GJR-GARCH,0.025,2.3414378910774323,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-05,GJR-GARCH,0.025,-4.170532764167614,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-06,GJR-GARCH,0.025,0.1742595795658918,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-09,GJR-GARCH,0.025,-1.182233087741168,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-10,GJR-GARCH,0.025,5.790036749828206,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-11,GJR-GARCH,0.025,0.6491304177849674,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-12,GJR-GARCH,0.025,3.8616930364357995,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-13,GJR-GARCH,0.025,0.7784145804795887,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-16,GJR-GARCH,0.025,-0.3027257753259416,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-17,GJR-GARCH,0.025,3.0124319961795063,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-18,GJR-GARCH,0.025,2.213739118765506,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-19,GJR-GARCH,0.025,-1.2463154293899426,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-20,GJR-GARCH,0.025,-2.8656035125776578,6.6786635529328455,-5.165035020662504,-6.775071451580375
2009-03-23,GJR-GARCH,0.025,6.936653028023308,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-03-24,GJR-GARCH,0.025,-1.9899965735440541,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-03-25,GJR-GARCH,0.025,1.0490666999103533,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-03-26,GJR-GARCH,0.025,2.0175741328649455,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-03-27,GJR-GARCH,0.025,-1.82132279488019,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-03-30,GJR-GARCH,0.025,-3.5165714082594945,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-03-31,GJR-GARCH,0.025,0.9222423255919477,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-01,GJR-GARCH,0.025,1.918107094829613,5.412644422165952,-4.649729599855822,-6.089463618005655
